Factory Name,Location,Industry Types,Production Capacity,Byproduct Type,Byproduct Quantity,Byproduct Frequency,Required Byproduct,Utilization Method,Demand Scale,Frequency of Use
Factory_440,"China, Shenzhen",Plastics,9184,Waste Chemicals,575,Daily,Recycled Plastic,Recycling,High,Daily
Factory_363,"USA, California",Pharmaceuticals,4236,Bio-waste,372,Daily,Bio-fuel,Recycling,Low,Monthly
Factory_497,"UK, London",Plastics,8004,Bio-waste,804,Monthly,Steel,Recycling,Low,Weekly
Factory_148,"Japan, Tokyo",Pharmaceuticals,4222,Waste Chemicals,750,Daily,Bio-fuel,Composting,Medium,Weekly
Factory_440,"UK, London",Electronics,1555,Plastic Waste,193,Weekly,Bio-fuel,Composting,Low,Monthly
Factory_307,"China, Shenzhen",Textiles,5336,Heat,551,Daily,Heat Energy,Composting,High,Daily
Factory_157,"Japan, Tokyo",Food Processing,682,Plastic Waste,565,Weekly,Heat Energy,Recycling,High,Monthly
Factory_497,"UK, London",Plastics,7982,Heat,464,Daily,Silicon,Recycling,Medium,Daily
Factory_490,"South Africa, Johannesburg",Automotive,9443,Plastic Waste,683,Monthly,Steel,Energy Source,High,Monthly
Factory_120,"USA, California",Textiles,9916,Heat,359,Weekly,Bio-fuel,Energy Source,Low,Monthly
Factory_129,"China, Shenzhen",Plastics,420,Heat,909,Monthly,Recycled Plastic,Composting,Low,Monthly
Factory_328,"South Africa, Johannesburg",Metals,6288,Heat,490,Weekly,Bio-fuel,Recycling,Low,Daily
Factory_326,"Germany, Berlin",Metals,1356,Metal Scraps,344,Monthly,Heat Energy,Energy Source,Medium,Daily
Factory_116,"India, Mumbai",Plastics,9136,Plastic Waste,651,Monthly,Bio-fuel,Recycling,Medium,Daily
Factory_137,"Germany, Berlin",Textiles,663,Slag,216,Monthly,Steel,Composting,Medium,Weekly
Factory_386,"Brazil, Sao Paulo",Pharmaceuticals,729,Slag,956,Weekly,Recycled Plastic,Energy Source,High,Daily
Factory_95,"USA, California",Chemicals,2122,Plastic Waste,615,Weekly,Heat Energy,Recycling,Low,Weekly
Factory_418,"Brazil, Sao Paulo",Automotive,4366,Waste Chemicals,607,Monthly,Heat Energy,Recycling,High,Daily
Factory_51,"Japan, Tokyo",Pharmaceuticals,8853,Slag,377,Daily,Heat Energy,Raw Material,High,Monthly
Factory_319,"India, Mumbai",Plastics,5314,Bio-waste,939,Weekly,Silicon,Raw Material,Medium,Monthly
Factory_204,"Brazil, Sao Paulo",Automotive,9310,Plastic Waste,575,Weekly,Heat Energy,Raw Material,Low,Monthly
Factory_287,"Germany, Berlin",Chemicals,5355,Plastic Waste,778,Daily,Bio-fuel,Recycling,Low,Monthly
Factory_88,"Germany, Berlin",Food Processing,6565,Metal Scraps,68,Weekly,Silicon,Recycling,Medium,Monthly
Factory_489,"India, Mumbai",Pharmaceuticals,4027,Waste Chemicals,520,Weekly,Heat Energy,Energy Source,Low,Daily
Factory_176,"Japan, Tokyo",Chemicals,1520,Bio-waste,559,Monthly,Bio-fuel,Raw Material,Low,Monthly
Factory_340,"Japan, Tokyo",Food Processing,6489,Plastic Waste,581,Monthly,Organic Material,Composting,Medium,Monthly
Factory_26,"Germany, Berlin",Metals,5411,Bio-waste,83,Weekly,Steel,Recycling,High,Monthly
Factory_289,"UK, London",Chemicals,2021,Metal Scraps,39,Monthly,Silicon,Composting,Medium,Monthly
Factory_67,"USA, California",Plastics,9495,Waste Chemicals,84,Daily,Bio-fuel,Recycling,High,Daily
Factory_482,"India, Mumbai",Electronics,981,Plastic Waste,445,Daily,Heat Energy,Composting,Medium,Monthly
Factory_458,"Japan, Tokyo",Textiles,324,Bio-waste,193,Monthly,Silicon,Energy Source,Low,Monthly
Factory_44,"China, Shenzhen",Chemicals,726,Slag,212,Monthly,Heat Energy,Composting,High,Daily
Factory_407,"South Africa, Johannesburg",Plastics,5882,Plastic Waste,556,Daily,Organic Material,Recycling,High,Monthly
Factory_68,"Japan, Tokyo",Plastics,9718,Waste Chemicals,825,Monthly,Recycled Plastic,Composting,High,Monthly
Factory_8,"India, Mumbai",Plastics,9247,Metal Scraps,979,Daily,Steel,Energy Source,Low,Daily
Factory_112,"Japan, Tokyo",Textiles,2704,Heat,669,Weekly,Recycled Plastic,Recycling,High,Daily
Factory_406,"USA, California",Textiles,544,Heat,286,Monthly,Organic Material,Energy Source,Low,Weekly
Factory_21,"China, Shenzhen",Electronics,1966,Plastic Waste,471,Monthly,Recycled Plastic,Raw Material,Low,Weekly
